userId,movieId,rating,timestamp,title,month,is_comedy,is_action,is_horror,vote_average,original_language
1,1371,2.5,1260759135,Rocky III,5,FALSE,FALSE,FALSE,6.6,en
1,2105,4,1260759139,American Pie,7,TRUE,FALSE,FALSE,6.4,en
1,2294,2,1260759108,Jay and Silent Bob Strike Back,8,TRUE,FALSE,FALSE,6.4,en
2,62,3,835355749,2001: A Space Odyssey,4,FALSE,FALSE,FALSE,7.9,en
2,153,4,835355441,Lost in Translation,8,FALSE,FALSE,FALSE,7.3,en
2,161,3,835355493,Ocean's Eleven,12,FALSE,FALSE,FALSE,7.2,en
2,165,3,835355441,Back to the Future Part II,11,TRUE,FALSE,FALSE,7.4,en
2,168,3,835355710,Star Trek IV: The Voyage Home,11,FALSE,FALSE,FALSE,6.9,en
2,185,3,835355511,A Clockwork Orange,12,FALSE,FALSE,FALSE,8,en
2,186,3,835355664,Lucky Number Slevin,2,FALSE,FALSE,FALSE,7.4,en
2,235,3,835355664,Stand by Me,8,FALSE,FALSE,FALSE,7.8,en
2,253,4,835355511,Live and Let Die,7,FALSE,TRUE,FALSE,6.4,en
2,272,3,835355767,Batman Begins,6,FALSE,TRUE,FALSE,7.5,en
2,296,4,835355395,Terminator 3: Rise of the Machines,7,FALSE,TRUE,FALSE,5.9,en
2,314,4,835356044,Catwoman,7,FALSE,TRUE,FALSE,4.2,en
2,319,1,835355918,True Romance,9,FALSE,TRUE,FALSE,7.5,en
2,350,4,835355697,The Devil Wears Prada,6,TRUE,FALSE,FALSE,7,en
2,364,3,835355604,Batman Returns,6,FALSE,TRUE,FALSE,6.6,en
2,377,3,835355710,A Nightmare on Elm Street,11,FALSE,FALSE,TRUE,7.2,en
2,454,4,835355604,Romeo + Juliet,10,FALSE,FALSE,FALSE,6.7,en
2,497,3,835355880,The Green Mile,12,FALSE,FALSE,FALSE,8.2,en
2,500,4,835355731,Reservoir Dogs,9,FALSE,FALSE,FALSE,8.1,en
2,508,4,835355860,Love Actually,9,TRUE,FALSE,FALSE,7,en
2,509,4,835355719,Notting Hill,5,TRUE,FALSE,FALSE,7,en
2,539,3,835355767,Psycho,6,FALSE,FALSE,TRUE,8.3,en
2,550,3,835356109,Fight Club,10,FALSE,FALSE,FALSE,8.3,en
2,585,5,835355817,"Monsters, Inc.",11,TRUE,FALSE,FALSE,7.5,en
2,587,3,835355779,Big Fish,12,FALSE,FALSE,FALSE,7.6,en
2,588,3,835355441,Silent Hill,4,FALSE,FALSE,TRUE,6.3,en
2,590,5,835355395,The Hours,12,FALSE,FALSE,FALSE,7,en
2,616,3,835355932,The Last Samurai,12,FALSE,TRUE,FALSE,7.3,en
3,296,4.5,1298862418,Terminator 3: Rise of the Machines,7,FALSE,TRUE,FALSE,5.9,en
3,377,2.5,1298923242,A Nightmare on Elm Street,11,FALSE,FALSE,TRUE,7.2,en
3,588,3,1298922100,Silent Hill,4,FALSE,FALSE,TRUE,6.3,en
3,595,2,1298923260,To Kill a Mockingbird,12,FALSE,FALSE,FALSE,7.9,en
3,866,3,1298861687,Finding Neverland,10,FALSE,FALSE,FALSE,7.2,en
3,1271,3,1298861605,300,12,FALSE,TRUE,FALSE,7,en
